kyear,insol_65N_d172,insol_65N_d233,insol_65N_d172_centered,insol_65N_d233_centered
-4870.0,500.12555146033225,301.9668279140016,7.282048499323253,-13.098885600817482
-4869.0,502.3423396597714,306.05084799534,9.498836698762432,-9.014865519479088
-4868.0,503.2979116842243,311.02434307191805,10.454408723215295,-4.041370442901041
-4867.0,503.0047578589283,316.52182466952365,10.16125489791932,1.4561111547045584
-4866.0,501.5714931391568,322.056419904507,8.72799017814782,6.990706389687887
-4865.0,499.3130077071997,327.131281458361,6.469504746190694,12.065567943541907
-4864.0,496.6032884615706,331.28148336817645,3.759785500561634,16.215769853357358
-4863.0,493.87439858627937,334.164225000946,1.0308956252703751,19.09851148612688
-4862.0,491.4876792441518,335.5822130965418,-1.3558237168571736,20.516499581722712
-4861.0,489.7620030521627,335.5206844096496,-3.081499908846297,20.454970894830524
-4860.0,488.8782969543985,334.09117848655404,-3.965206006610515,19.025464971734948
-4859.0,488.9334506970422,331.5171982244472,-3.9100522639668043,16.45148470962812
-4858.0,489.8892420179928,328.0678575939565,-2.954260943016209,13.002144079137395
-4857.0,491.6624083651071,324.046054925729,-1.1810945959018682,8.980341410909887
-4856.0,494.12080155502326,319.7697077190273,1.277298594014269,4.703994204208186
-4855.0,497.0625964567169,315.52356100890097,4.219093495707909,0.4578474940818751
-4854.0,500.28774001542376,311.59090352040096,7.444237054414771,-3.4748099944181376
-4853.0,503.5559840807911,308.22575539986883,10.712481119782126,-6.839958114950264
-4852.0,506.6360768672865,305.6428174031657,13.792573906277482,-9.422896111653415
-4851.0,509.25869664937744,304.01545778059017,16.415193688368447,-11.050255734228926
-4850.0,511.19135912567793,303.46330217102496,18.34785616466894,-11.602411343794131
-4849.0,512.1970837883089,304.02429916514467,19.35358082729988,-11.041414349674426
-4848.0,512.0826874814204,305.6462206760432,19.239184520411413,-9.41949283877591
-4847.0,510.7579401183118,308.18408229880646,17.914437157302814,-6.881631216012636
-4846.0,508.1866650737402,311.3747827109148,15.343162112731193,-3.69093080390428
-4845.0,504.5209426971582,314.8996945526359,11.67743973614921,-0.166018962183216
-4844.0,499.9586483504723,318.3674057823494,7.115145389463294,3.3016922675303135
